App version,assessment-go1.15.5/linux-amd64/688a108b9e
CPU model,Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz
CPU numLogical,4
CPU flags,acpi aperfmperf apic arat arch_perfmon avx bts clflush cmov constant_tsc cpuid cpuid_fault cx16 cx8 de ds_cpl dtes64 dtherm dts epb ept erms est f16c flexpriority flush_l1d fpu fsgsbase fxsr ht ibpb ibrs lahf_lm lm mca mce md_clear mmx monitor msr mtrr nonstop_tsc nopl nx pae pat pbe pcid pclmulqdq pdcm pebs pge pln pni popcnt pse pse36 pti pts rdtscp rep_good sep smep ss ssbd sse sse2 sse4_1 sse4_2 ssse3 stibp syscall tm tm2 tpr_shadow tsc tsc_deadline_timer vme vmx vnmi vpid xsave xsaveopt xtopology xtpr
CPU maxFreq,3300 MHz
Memory size,7.66 GB
"fibonacci, function _main, numRuns 10",1.040,
"cpu calculate, function cpuCalculate, numRuns 2000",0.777,
"storage100, function store100, numRuns 2000",0.705,
"C API big int, function bigIntNewTest, numRuns 700",1.232,
"C API big int mul 32, function bigIntMul32Test, numRuns 2",0.776,
"C API sha256, function sha256Test, numRuns 30",0.753,
"C API keccak256, function keccak256Test, numRuns 30",1.215,
"C API ripemd160, function ripemd160Test, numRuns 30",0.747,
"C API verify BLS, function verifyBLSTest, numRuns 5",1.225,
"C API verify ED25519, function verifyEd25519Test, numRuns 50",0.898,
"C API verify secp256k1 uncompressed, function verifySecp256k1UncompressedKeyTest, numRuns 400",11.368,
"C API verify secp256k1 compressed, function verifySecp256k1CompressedKeyTest, numRuns 200",6.249,
"Delegation in Arwen, 2000 stake executions, minimum duration",1.219,
"ERC20 in C, 1000 transfer executions, minimum duration",1.107,
"ERC20 in Rust, 300 transfer executions, minimum duration",0.724,
TOTAL,30.037,
