App version,assessment-go1.15.5/linux-amd64/e6eccc32d2
CPU model,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz
CPU numLogical,32
CPU flags,abm acpi aes aperfmperf apic arat arch_perfmon avx avx2 bmi1 bmi2 bts clflush cmov constant_tsc cpuid cpuid_fault cqm cqm_llc cqm_occup_llc cx16 cx8 dca de ds_cpl dtes64 dtherm dts epb ept ept_ad erms est f16c flexpriority flush_l1d fma fpu fsgsbase fxsr ht ibpb ibrs ida invpcid invpcid_single lahf_lm lm mca mce md_clear mmx monitor movbe msr mtrr nonstop_tsc nopl nx pae pat pbe pcid pclmulqdq pdcm pdpe1gb pebs pge pln pni popcnt pse pse36 pti pts rdrand rdtscp rep_good sdbg sep smep smx ss ssbd sse sse2 sse4_1 sse4_2 ssse3 stibp syscall tm tm2 tpr_shadow tsc tsc_adjust tsc_deadline_timer vme vmx vnmi vpid x2apic xsave xsaveopt xtopology xtpr
CPU maxFreq,3400 MHz
Memory size,62.81 GB
"fibonacci, function _main, numRuns 10",1.207,
"cpu calculate, function cpuCalculate, numRuns 2000",1.386,
"storage100, function store100, numRuns 2000",0.991,
"C API big int, function bigIntNewTest, numRuns 700",1.629,
"C API big int mul 32, function bigIntMul32Test, numRuns 2",1.281,
"C API sha256, function sha256Test, numRuns 30",1.011,
"C API keccak256, function keccak256Test, numRuns 30",1.076,
"C API ripemd160, function ripemd160Test, numRuns 30",0.844,
"C API verify BLS, function verifyBLSTest, numRuns 5",1.313,
"C API verify ED25519, function verifyEd25519Test, numRuns 50",1.430,
"C API verify secp256k1 uncompressed, function verifySecp256k1UncompressedKeyTest, numRuns 400",10.454,
"C API verify secp256k1 compressed, function verifySecp256k1CompressedKeyTest, numRuns 200",6.611,
"Delegation in Arwen, 2000 stake executions, minimum duration",1.525,
"ERC20 in C, 1000 transfer executions, minimum duration",0.956,
"ERC20 in Rust, 300 transfer executions, minimum duration",0.817,
TOTAL,32.532,
