App version,assessment-go1.15.5/linux-amd64/3cfa439dac
CPU model,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz
CPU numLogical,2
CPU flags,abm aes apic avx avx2 bmi1 bmi2 clflush cmov constant_tsc cpuid cpuid_fault cx16 cx8 de erms f16c fma fp
u fsgsbase fxsr ht hypervisor invpcid invpcid_single lahf_lm lm mca mce mmx movbe msr mtrr nopl nx pae pat pcid pc
lmulqdq pge pni popcnt pse pse36 pti rdrand rdtscp rep_good sep smep sse sse2 sse4_1 sse4_2 ssse3 syscall tsc tsc_
deadline_timer vme x2apic xsave xsaveopt xtopology
CPU maxFreq,2400 MHz
Memory size,3.84 GB
"fibonacci, function _main, numRuns 10",1.225,
"cpu calculate, function cpuCalculate, numRuns 2000",0.920,
"storage100, function store100, numRuns 2000",0.927,
"C API big int, function bigIntNewTest, numRuns 700",1.329,
"C API big int mul 32, function bigIntMul32Test, numRuns 2",0.840,
"C API sha256, function sha256Test, numRuns 30",0.710,
"C API keccak256, function keccak256Test, numRuns 30",1.042,
"C API ripemd160, function ripemd160Test, numRuns 30",0.836,
"C API verify BLS, function verifyBLSTest, numRuns 5",1.421,
"C API verify ED25519, function verifyEd25519Test, numRuns 50",1.000,
"C API verify secp256k1 uncompressed, function verifySecp256k1UncompressedKeyTest, numRuns 400",12.170,
"C API verify secp256k1 compressed, function verifySecp256k1CompressedKeyTest, numRuns 200",6.681,
"Delegation in WASM VM, 2000 stake executions, minimum duration",1.126,
"ERC20 in C, 1000 transfer executions, minimum duration",0.763,
"ERC20 in Rust, 300 transfer executions, minimum duration",0.635,
TOTAL,31.624,
